bidder_id,trade_count,most_used_device,device_counts,most_used_country,country_counts,average_times,most_merchandise,merchandise_counts,most_used_ip,ip_counts,most_used_url,url_counts
0381a69b7a061e9ace2798fd48f1f537mgq57,1,phone11,1,sa,1.0,-1.1386564579536858,office equipment,1,54.212.21.87,1,cgb17jpn1ixq9hw,1
03a1e81cb7bcd15014489a6f752c9d5b7pvel,30,phone11,15,th,16.0,-1.0595491309649503,mobile,30,34.104.78.250,11,vasstdc27m7nks3,23
03aafab9868455b78f0723eda86698ba9v9rm,10776,phone57,2101,in,10080.0,-0.1280205656356124,mobile,10776,5.146.235.202,1771,oqknoadbcbcm6so,5498
03e884d3e7e3356608187d2345e4693fyt29x,12,phone4,3,id,11.0,1.323344128555334,home goods,12,39.0.169.174,2,hofn9rh9xwi73fx,7
041d869edcadf595b90e3b5248903183pn754,993,phone28,365,za,393.0,-0.20515897651271015,mobile,993,117.22.153.104,56,vasstdc27m7nks3,991
042780ee9a3730703e35340c575c3cbb7zjwk,4,phone110,1,cl,2.0,1.246817979145461,sporting goods,4,127.57.13.86,2,vasstdc27m7nks3,4
0446457fc8e21596799158406f77b14catx8w,1,phone150,1,ae,1.0,0.16184751119846985,mobile,1,168.79.253.37,1,lfg4lgqulbnscgj,1
04636b6c61c80f5325efe61183e8edb01ko20,4,phone4,2,in,4.0,-0.46710462670321085,office equipment,4,127.51.85.42,2,vasstdc27m7nks3,2
047558bebab9292a5d4c85d6ee768784j2hdd,22217,phone4,3430,in,18293.0,-0.3604378290636902,jewelry,22217,216.197.201.221,659,vasstdc27m7nks3,7023
0496c24a6a7f593f28bf7896350e946advl6i,17,phone1169,2,za,17.0,1.3524741790833943,mobile,17,149.247.222.82,6,0grk3kcdoewwg9j,3
04c6b750b0552089c87ae03de72289cfcpfmh,14,phone2,2,in,3.0,1.2622918489505814,mobile,14,22.53.4.153,2,vasstdc27m7nks3,7
050a3b29ca1818e1f237df8132bc2013bcuxi,40,phone4,14,vn,23.0,1.3333566260258385,mobile,40,155.110.78.197,2,vasstdc27m7nks3,18
053cefb7e952bd81d7a6db267a121747te7lo,1,phone364,1,fr,1.0,1.3154671729523417,mobile,1,221.187.195.207,1,vasstdc27m7nks3,1
0547dbd3ecb4a293913f138d60b586fdf4ane,294,phone46,180,mx,84.0,1.300046390636325,sporting goods,294,116.42.36.155,2,vasstdc27m7nks3,292
054b51d059fe981ca8cc4e0d4c49aabb5mck7,1474,phone65,113,ng,925.0,1.3176076368346652,jewelry,1474,68.171.95.214,90,vasstdc27m7nks3,498
055282b75717345ba6f53d40e9e6d6c56qrzp,13133,phone4,1772,in,1787.0,1.3151717207128069,sporting goods,13133,68.171.95.214,195,vasstdc27m7nks3,6263
055eb52087e0080b8ebca74be4f823f5c819l,1,phone4,1,th,1.0,1.396527196575888,mobile,1,85.70.61.82,1,vasstdc27m7nks3,1
0565a780f2c5b46837bbe9739ef15ea92fdu0,1149,phone4,109,in,851.0,1.3071167342221446,mobile,1149,213.225.77.188,27,vasstdc27m7nks3,314
0580f2e77b4c0dd3b5cda8a1641cb9fenmo0i,86,phone4,50,id,85.0,-0.3783489754334611,sporting goods,86,115.47.140.180,5,vasstdc27m7nks3,74
0589cf78c4bece729f0ac620557210e13no3n,28,phone23,7,lt,14.0,-0.42788327471324783,mobile,28,200.196.23.226,5,vasstdc27m7nks3,14
058a4e0ac0a20f504cc9c6aae2a896e6too9v,3,phone316,1,id,3.0,1.2784692373969186,mobile,3,0.172.88.173,1,vasstdc27m7nks3,3
05a07a27e235d01fe480ea6ac73b8838jq28x,139,phone3,12,in,116.0,1.323418777430771,mobile,139,213.225.77.188,7,ccagmzwluxyidc3,45
05ae7ea9549ae298bbbc8002b4229392e0ilf,4,phone33,3,ph,3.0,-0.19882728911501465,mobile,4,15.220.160.145,1,mdk077prznwoszo,1
05c6b93bf8f083b2d0a03ffc0fc3524ba8fi5,10,phone46,10,uk,10.0,1.2966074377543133,mobile,10,168.216.221.50,10,9b87i2pqb3z9yye,6
05c9fe8f8852ea069a93dfe39fc0571er9mdt,91,phone3,7,in,67.0,-0.4033143766307542,mobile,91,233.41.167.75,6,vasstdc27m7nks3,21
060ac64ff78ae62e9bc697192cebea333760p,194,phone25,101,uk,101.0,-1.0786247926587549,home goods,194,27.111.133.213,101,cdeba4myhwu9v78,101
061690ceb6004807b7906968bf382dfcbve7y,432,phone469,129,th,383.0,-0.8719048587286923,mobile,432,15.23.6.246,56,vasstdc27m7nks3,432
067ff22ebf0d33fe0deedc816d75973865jo7,330,phone4,36,id,203.0,0.06763182151558507,sporting goods,330,27.111.133.213,28,5k1tncjmiipl9ea,88
068450aafae2a6e390e35925d964290cdliqf,1,phone65,1,cn,1.0,-1.0814182986007796,home goods,1,158.26.157.154,1,vasstdc27m7nks3,1
069d020584a0e8c61e622321d4c43881j7pl3,4,phone17,1,in,4.0,1.2979687515103147,mobile,4,112.29.77.240,1,d1alpilx21x2dux,1
069d251f2fc19102924468ab38349d5eou7ab,13,phone4,11,id,13.0,1.3104090810861462,sporting goods,13,6.91.238.119,3,vasstdc27m7nks3,12
06a58d4af0fe7ee15324b0e921e8de1260vef,9595,phone4,1121,in,2076.0,-0.6026773713085499,mobile,9595,57.101.190.69,107,at6pnrc7xip63yk,3142
06b2d71c26ef3b6e29277f761cd0db90wuwjo,1,phone561,1,vn,1.0,0.06334989494440682,mobile,1,83.92.189.248,1,gpay8v66wb0tu03,1
06c281e31f83dcfd3fe70d2ee2d66bc7e6fw6,2,phone222,1,in,2.0,1.3291293740805303,mobile,2,181.45.182.70,1,lj7hsgugmcnghuo,1
06ddad46112881df154e3bda0e90fe880r57n,177,phone63,177,sg,177.0,1.411401620836484,sporting goods,177,10.143.165.94,1,ahuiv2h122g4x93,37
07012e0507b4281d430b93ddcd96cae66und7,18,phone45,2,in,15.0,1.3049309663942126,mobile,18,126.1.205.15,2,vasstdc27m7nks3,6
074daf9a99b01591cb0637cb95c32600roriz,56,phone4,15,id,30.0,1.3583584405013642,jewelry,56,144.253.142.62,5,vasstdc27m7nks3,20
078e06b3288cf8f18ab7ed44b245fc56nbyfv,41,phone110,15,my,24.0,1.359717578180143,mobile,41,113.125.127.189,10,vasstdc27m7nks3,40
0817731a4d2e319f6f771da3f522b8bfv6njs,224,phone28,143,za,170.0,1.3213272922718087,sporting goods,224,231.102.86.142,11,vasstdc27m7nks3,224
0825d381aa09d1d0c47c77c372f07acbe02ky,163,phone4,30,id,66.0,1.3156662222572058,jewelry,163,214.13.99.0,6,57padg8kutycdcx,78
08353687608279ddd83e4d36fadd1cd8ritj3,4,phone218,1,id,3.0,1.2586235247390378,sporting goods,4,151.247.93.69,1,58d1wuwh3pe7eua,1
08515611e73803dc6d8c562b8514dfb5qi3z9,297,phone4,47,in,154.0,1.3137211565561333,jewelry,297,148.248.186.155,19,vasstdc27m7nks3,139
0853bead89b03dd38a04d84f4312da7dukglz,4,phone4,2,id,3.0,1.2823392514949288,sporting goods,4,102.53.30.178,1,vasstdc27m7nks3,4
0870fb7e5701f3ba56762b03e157afdc1yw7u,558,phone220,89,id,249.0,1.3298800222684515,sporting goods,558,91.147.188.78,37,z5pirpo8ppcecwa,103
08981037e7a6c9032716ff25b15c9de25p63s,3005,phone4,299,th,2991.0,-0.5807599588374737,mobile,3005,119.88.125.198,226,vasstdc27m7nks3,1458
08a588ebf7b98f44f8fc695d02adfa25x0amy,3,phone115,2,za,3.0,1.3763316973915194,mobile,3,153.231.140.230,2,kcr145sidzh2iqn,2
08c39ef7252995e0749f7927249b8dcb1d3xh,1,phone179,1,in,1.0,-1.139960147049587,sporting goods,1,122.141.131.172,1,y5a19tfxzcuz35e,1
090c77ac89c7063f0d0ce064ce3cb3afllf5h,1,phone2,1,uk,1.0,1.370650670227853,mobile,1,53.149.239.184,1,1xa2jb0ik1ofxej,1
0918eedd8324da06abe5600f058480dc75nfo,21,phone4,4,in,11.0,1.3608682816070987,mobile,21,12.218.239.239,2,vasstdc27m7nks3,11
098bfc9c440f9ba9e6371f774ec6a36fa0sq6,4,phone489,1,id,3.0,1.3869628046834477,office equipment,4,113.224.119.86,1,8ohl33oaadbtrcr,1
09d71d3e6a6871a7598dc2764c5bb4ffkz6mc,11,phone212,4,my,4.0,-0.23447998173624587,sporting goods,11,15.23.6.246,3,vasstdc27m7nks3,11
0a09adcd35b5f26d75f251006affc747drfu4,1,phone106,1,in,1.0,0.022103454908294795,mobile,1,20.83.198.240,1,4b9rtrwehhmrapb,1
0a43de0ab0a7525fec59ef4bc1dda7a2z9z69,743,phone4,63,in,532.0,1.3061040135184867,sporting goods,743,213.225.77.188,19,1r62lhobkjvpph3,508
0a6ba32afe4756995db2f5cf2461cddbvj445,6,phone815,3,br,3.0,1.2572484097684467,jewelry,6,3.50.119.177,3,dvign4xdaxri9uu,1
0a7446b63f183a4928ae762ed6cd1c4b894qz,836,phone4,101,in,573.0,-0.5018889897470079,mobile,836,163.99.155.198,29,vasstdc27m7nks3,247
0a92c4fa2bcdc8e952546d236b322053o5wbk,4,phone106,1,id,3.0,0.05560435961318076,books and music,4,123.246.49.46,1,pnqx5i3kx2acjwl,2
0a9c5e1f261c937c09817ea2d5e949f34v8oe,21,phone28,11,za,14.0,1.358274826215989,sporting goods,21,133.241.248.195,2,vasstdc27m7nks3,21
0a9d614009139236f198ddb4759a498cen5ix,4,phone33,2,my,3.0,-0.3896495237152062,jewelry,4,101.146.132.199,1,vasstdc27m7nks3,2
0ad17aa9111f657d71cd3005599afc24fd44y,8263,phone4,486,in,6295.0,1.3091389397892188,mobile,8263,93.206.191.5,35,vasstdc27m7nks3,2646
0ae09b09369c76737cba059d192451001nwce,1,phone65,1,cn,1.0,1.4456107906469946,books and music,1,171.156.144.150,1,vasstdc27m7nks3,1
0af208c4fc46ef9236052ff495016326zxoqf,2,phone1360,2,gh,2.0,0.2027670276633445,sporting goods,2,132.194.221.0,2,vasstdc27m7nks3,2
0b3d5f829d18ba30d967fceecb58821c3oeqa,2348,phone4,84,ru,1040.0,-0.27543946949498144,office equipment,2348,114.238.112.178,1027,vasstdc27m7nks3,1447
0b450f2827ec670da34be66ec2a520213xcuk,2,phone4,2,et,2.0,0.19048211098323242,mobile,2,204.175.152.183,1,vasstdc27m7nks3,2
0b68888358a492884e3885bcd73ea63bhxidk,4,phone55,3,us,2.0,-0.47651932464797875,sporting goods,4,126.151.106.184,1,q20vq0phs2ozmwn,2
0bf6e0e5184b3599bbb4ba1fb3a43549ije34,1,phone252,1,mz,1.0,-1.2136225861566858,mobile,1,130.103.127.241,1,grc5zh4hhv8wq8i,1
0c55920fb607fef2d33324f33565758a6e4dj,39,phone4,5,id,21.0,1.3080052229909278,sporting goods,39,26.150.123.184,2,vasstdc27m7nks3,15
0c57d8eaa2708b768416ca91dd8daa2cqbl31,25,phone212,10,za,19.0,-0.6212516138316212,sporting goods,25,117.22.153.104,6,vasstdc27m7nks3,25
0c5992f18244e24d2d7b4708a512378729eev,145,phone143,145,mx,72.0,0.09609681932313262,home goods,145,158.247.212.216,72,vasstdc27m7nks3,119
0cbd01c9e8cc800aabd3b3e4c618f9caktfgp,1955,phone3,133,in,1659.0,1.3223202591627707,jewelry,1955,213.225.77.188,52,vasstdc27m7nks3,380
0cca10034c58287ee6fbec14a3f96c3546sdh,10,phone4,3,in,5.0,-0.6164709999351558,mobile,10,101.237.39.48,1,vasstdc27m7nks3,4
0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,100,phone4,46,id,85.0,-0.09654331715306258,jewelry,100,77.176.141.23,5,vasstdc27m7nks3,68
0d0d43ac593a891ce100d8202d3d72c3xsma8,11,phone65,7,cn,7.0,-0.8881534447295941,mobile,11,119.143.50.130,1,vasstdc27m7nks3,9
0d1815382b08885d76c671ab600133adeyp5e,3895,phone4,202,in,2716.0,1.3213814145558018,jewelry,3895,231.63.201.73,76,vasstdc27m7nks3,1031
0d9f78a6084bf15f42210bfeba95621255c89,6,phone8,2,my,5.0,-0.9158080627013979,computers,6,11.139.116.12,1,6m663ou1idljwn3,2
0daf4f87eb695e2a84e4156154209e09k6ga5,1,phone65,1,cn,1.0,-1.1321600410150312,mobile,1,39.145.125.34,1,vasstdc27m7nks3,1
0e373556d3bf588a1bb2ca6354120cf2dmvjs,3,phone3,1,tz,2.0,1.229308209667261,jewelry,3,200.146.108.98,1,56fgdz1fldbnc15,2
0e5ec5baf2e15afdbf5212d8461e1ad9h3kr0,46,phone65,5,eg,7.0,1.336161441544657,mobile,46,151.119.252.83,3,vasstdc27m7nks3,16
0e66933c924764a59760aaae5368e7d1e0s88,57,phone111,5,in,39.0,1.288623533937107,mobile,57,218.136.94.217,4,vasstdc27m7nks3,22
0e8212e286ee36da8945c2480e366417xa22x,3,phone212,1,za,3.0,1.3159394515162621,sporting goods,3,114.252.45.139,1,vasstdc27m7nks3,3
0ea26a4028ffc16d9a8631d43e1b92105auao,383,phone28,97,mx,383.0,-0.025773675251295897,sporting goods,383,100.174.127.27,8,vasstdc27m7nks3,354
0eeffc5039b27a4dc2e420eca75b1fa55rv5q,41,phone4,6,th,41.0,1.3187148929839603,mobile,41,86.200.121.249,27,vasstdc27m7nks3,12
0ef9be4eb3b6a03ac2945522964b242ap09cy,59,phone4,13,id,21.0,-0.5560697780235221,mobile,59,93.21.132.134,3,vasstdc27m7nks3,21
0f33df2513a519a35c8b3dcf1d7c7416jjjzk,8016,phone31,825,za,8011.0,-0.4507412595767383,jewelry,8016,101.172.68.99,819,vasstdc27m7nks3,2724
0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,137,phone150,10,my,50.0,1.4097110297420359,mobile,137,192.148.188.102,12,kwg86m2syrcuciy,18
0f4669e36b2e721dfe27f8633b277a1575erw,1,phone65,1,cn,1.0,1.4178678461156307,office equipment,1,204.213.202.92,1,vasstdc27m7nks3,1
0f8cb1baa83fefac10f885f79149bf13kn4nw,1370,phone119,121,in,240.0,1.276704936190674,mobile,1370,68.171.95.214,31,vasstdc27m7nks3,1116
0fa357965f89388d8e7eb8cbc3b85c6bnnro4,123,phone101,14,za,61.0,1.3473446531650533,jewelry,123,163.108.18.112,9,vasstdc27m7nks3,45
100d406b638e84e2da7c31b03100b874qiay2,312,phone17,50,in,189.0,-0.3628818074603232,mobile,312,72.78.27.133,6,vasstdc27m7nks3,81
10383b390780e7b4b03dc32c94b4973f66wou,5,phone262,2,fr,2.0,-1.0652964106338345,books and music,5,255.200.58.145,2,hpgaa9j4v2jy4uy,2
1053ead33eb1a5db7c36c979a455348abh9ns,2,phone212,2,my,2.0,1.4367703367087348,mobile,2,113.125.127.189,1,vasstdc27m7nks3,2
106f4ed8e9b727f8d94a1cd57e882a095pteo,6,phone1094,1,id,6.0,-0.057214645163946316,mobile,6,106.177.172.49,1,35td50eb7fffv3g,1
10b431aa15b56084d32fe1ef123c4305wo1nl,4,phone219,1,za,2.0,0.13863043050230175,sporting goods,4,117.22.153.104,1,vasstdc27m7nks3,4
10c1e1164e3f8298df9a35c891f67babiycsr,10,phone4,4,in,5.0,1.289257514989726,books and music,10,106.118.4.62,1,vasstdc27m7nks3,5
10f01aff2fc23653ca7ea1d74248357a889wv,23,phone2,2,in,17.0,-0.5059047341592556,mobile,23,52.175.106.82,2,vasstdc27m7nks3,9
10f1460119f9e42bcccd0f68ef59cc830pwtq,40,phone4,8,id,9.0,-0.5054861548797656,jewelry,40,181.180.133.44,4,vasstdc27m7nks3,15
110d2e689da119388dcb6e235749b787ni298,2,phone316,1,id,1.0,1.403383079248354,mobile,2,248.249.216.216,1,2hnalnle6rf7w4y,1
11a38554244f3c14de043aaf52345c35jjqvo,286,phone4,32,vn,281.0,1.3399663133221298,home goods,286,28.204.49.105,16,vasstdc27m7nks3,132
11b1859aaf7fa93818baa76007cf7207d8uwy,2,phone28,1,uk,1.0,1.2838997733504947,mobile,2,43.58.147.144,1,oden66sm0a4hvxi,1
11d5f6925da5809e2d447788b85d6253jj8fu,5434,phone17,660,in,4722.0,-0.6644348761725969,jewelry,5434,141.152.173.54,98,vasstdc27m7nks3,1694
11d7f0a5076649b229c301a22537834e1ehwg,1135,phone4,82,my,212.0,-0.4935754792441837,mobile,1135,230.199.182.153,36,vasstdc27m7nks3,369
11e47dc08d7fa4d1a1953b5868892f72qvlho,10,phone55,10,nl,3.0,1.258596389581961,sporting goods,10,188.254.24.20,2,eq9litou8032lto,8
120beb4523541f769a2b658cbc41dd57w7im7,5,phone101,4,in,4.0,1.2617700014017956,mobile,5,160.216.117.190,4,6r9glwlo3574h7v,4
120c8b384858420c4e46e354c86f4ca393w0i,3783,phone4,319,in,2172.0,-0.5311240503089103,office equipment,3783,114.238.112.178,292,vasstdc27m7nks3,1415
121578435bf4136746cd2a80f1990e07cv1px,91,phone150,18,id,67.0,-0.617853801421369,mobile,91,73.231.0.225,9,vasstdc27m7nks3,18
124727083cd4159b40ff8d4b36a89340l6fga,1,phone367,1,id,1.0,1.3186032361230808,home goods,1,115.28.109.51,1,5laihd5tg597dpv,1
1275d8a6a3b2ae9d24b50997397c254cpuuzv,643,phone58,60,id,191.0,-0.3685381424504507,mobile,643,195.254.89.115,38,vasstdc27m7nks3,29
1291b98e40353f77928e363d54a13c569bhfb,3,phone189,1,in,2.0,1.19919152298279,jewelry,3,142.229.208.40,1,vasstdc27m7nks3,2
12c1b22ede3c23949bf130cc7bac6316ks7fj,48,phone28,7,za,45.0,1.3182993006691988,jewelry,48,149.247.222.82,5,vasstdc27m7nks3,14
12d6239a92972a35bc990225b3ab33466znm8,3,phone142,2,ng,2.0,-0.31099444934419745,office equipment,3,236.63.15.129,2,06t6195nfhl7oy4,1
12df4a9cf4eb203909e6763960b79238cb0yg,16,phone6,2,id,4.0,-1.1312997388836454,mobile,16,254.22.146.148,2,vasstdc27m7nks3,4
12fefd74d82d90541872847f199f6324cowi5,49,phone4,9,in,29.0,1.317325928146102,furniture,49,150.246.182.178,3,vasstdc27m7nks3,22
13812c0d2c8c474bd62481d932407687o26kg,59,phone4,6,in,35.0,1.3626289720075722,mobile,59,93.41.127.159,5,vasstdc27m7nks3,20
1395ca662a02245233af951cc7ad8313vk6w0,73,phone101,11,in,35.0,1.3298166275189063,mobile,73,208.161.99.184,4,vasstdc27m7nks3,72
13c4c826516304555e291d3d91c108b3ytpmj,17,phone46,16,th,12.0,-0.2867050577635476,computers,17,0.66.252.174,1,vasstdc27m7nks3,17
13dfda714fb516e1f9f7abb0c927bdc2zmw55,1,phone693,1,ba,1.0,0.1608812592956053,jewelry,1,244.9.250.230,1,vasstdc27m7nks3,1
142a2545c5c01937b05ac6de9773f9efgx0eb,2,phone150,2,id,2.0,-1.0138908081039237,home goods,2,111.185.0.169,2,8tkyaarrf57m2pt,1
1456b44d8b2b16cd94278137269ceb11ns7wy,8,phone116,1,in,8.0,1.2933763014040922,mobile,8,162.74.35.230,1,vasstdc27m7nks3,2
147164a9fe8a6bce381a224e9f13207cc1mdg,1,phone68,1,ke,1.0,-1.063949665753682,mobile,1,183.53.187.241,1,kcvp05p62scl66f,1
1476226300a93d22b15253ed7339429a7ijk0,380,phone4,166,id,380.0,-0.5200915201028643,clothing,380,72.178.91.174,18,vasstdc27m7nks3,286
14b2d98230228eab6a6db3efc41660d7kp23s,6,phone189,4,ng,6.0,0.08746380426340361,sporting goods,6,236.63.15.129,6,0kxjrdoyuqkwcth,1
14bcf558addd6e6f2818ab2bda7dc679jqoon,36,phone101,8,za,34.0,1.3523571074675118,jewelry,36,128.208.163.193,2,ar5pt1q5xvvc2sz,14
14c69cd7fbc8300876f287520c493fc8xe2o6,153,phone31,19,za,147.0,-0.4325452673016004,sporting goods,153,77.63.173.12,39,vasstdc27m7nks3,115
14d4e04d7ed150613974438a4dfd4e85dybq3,1680,phone3,87,in,523.0,-0.3809839618481634,mobile,1680,0.132.197.225,27,ru32b6qb7r28l56,526
14e29ea004067aace14ee4543876a06365os8,8,phone33,7,id,7.0,-0.7981781998426127,home goods,8,150.104.110.12,4,vasstdc27m7nks3,6
14f226ef57ed64d8e14c8b5ae929143cgq3em,211,phone4,51,in,118.0,-0.20728117348260314,mobile,211,239.119.1.24,6,vasstdc27m7nks3,125
14fe3602f049d4574cdbdef13789647dsgtqy,1,phone180,1,za,1.0,0.11823800951388765,mobile,1,148.20.175.10,1,x7wyuvkxvszca3k,1
1530008a712831e35a673d38959528f4ozipv,2,phone26,1,ro,2.0,-1.1727055729350948,mobile,2,198.229.236.59,1,vasstdc27m7nks3,1
156f4a8763e602ef789f8048c6928676a1ily,1,phone57,1,in,1.0,0.06826526343266617,sporting goods,1,77.140.158.177,1,x2uwfw1bkzpa3ev,1
15972a431aed117840dfce5556242366c3fwq,340,phone2287,170,au,102.0,-1.1147436464375382,books and music,340,4.26.11.27,102,vasstdc27m7nks3,94
15b1e719796dc894ecde30f160e7ae20hrmmh,1,phone76,1,vn,1.0,1.3342995727338447,jewelry,1,63.0.161.173,1,vasstdc27m7nks3,1
15f34e73687d7361ac0d780737fca261g2s9n,1810,phone4,61,in,486.0,-0.45808633544788374,jewelry,1810,198.229.236.59,43,vasstdc27m7nks3,303
16065749457a14b26998fefca503c3ecf9og8,18,phone119,3,de,6.0,1.2371421372998026,sporting goods,18,79.178.131.33,2,vasstdc27m7nks3,18
162886daa0054ff1ad422e0f18cddff3qofft,166,phone4,54,id,53.0,1.3241423223560045,home goods,166,107.245.155.232,8,vasstdc27m7nks3,78
163097c029285c7eefa2d60e474d65b4ap2l0,25,phone451,4,id,13.0,-0.6735127247820759,office equipment,25,186.249.111.160,4,3fspuycz814hqoe,10
167008af05d4feaa636a565f6f83ec61a6ogj,18,phone275,10,ng,18.0,-0.7205697175765822,mobile,18,236.63.15.129,13,vasstdc27m7nks3,8
167b4f37a264b72feb0f559b650d1cbd3ox60,90,phone4,15,in,52.0,1.2977304038115134,furniture,90,213.225.77.188,5,vasstdc27m7nks3,47
1680b6a12fdc8c64645c00ae8048f99c6uzoz,40,phone127,6,pl,36.0,-0.00949666208312642,books and music,40,60.157.70.112,4,uijonl9r2spn5fy,8
1680f758aecded6e25096b3a6199b38en6n73,10,phone394,3,za,5.0,1.3106082776322796,home goods,10,54.148.156.124,2,vasstdc27m7nks3,9
1689122c3b25d9e7adc626de84c10006fr2n5,13,phone150,2,in,11.0,0.13556384196019813,mobile,13,138.180.203.99,2,vasstdc27m7nks3,10
16e2e48cff6faab74e1f5c47669dfbbda7l5z,1224,phone3,79,in,858.0,-0.538770447890767,mobile,1224,216.197.201.221,41,vasstdc27m7nks3,345
170a58cf637c08f0818ebdbfddca29c9irkxj,7,phone2,2,za,3.0,-0.587587477639478,sporting goods,7,85.1.33.224,2,10gtkizr94bp6y1,1
1717f6d4c48ae8d3e5f2566d4bb525f854j6d,14,phone101,6,za,14.0,1.38707652344923,mobile,14,234.179.242.151,5,424bufji9kcdmnk,10
171fbac128e6dcb51d0f07cf7ed8bd3er891e,279,phone33,279,sg,279.0,1.4239131265779787,sporting goods,279,132.172.232.60,2,s3i87wl2xo9e72b,59
173991472d4ee18932f8514b9d4a9dba7rjqa,10,phone4,2,id,8.0,-1.036601432621369,mobile,10,112.205.235.154,1,d25trzky29nk290,5
